estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2008-2012,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2008-2012,FILETYPE,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5,2012e5
2008-2012,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2008-2012,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2008-2012,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2008-2012,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000118,0000119,0000121,0000128,0000129,0000031
2008-2012,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2008-2012,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2008-2012,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2008-2012,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2008-2012,B01003_1_total,605759,88774,147107,234268,974824,865443,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,53545
2008-2012,B01001_1_total,605759,88774,147107,234268,974824,865443,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,53545
2008-2012,B01001_2_male,286427,43769,71061,115246,468237,415176,104287,7009,23600,535616,32357,155549,200718,3644,60278,65063,18615,67565,11146,5857,11662,18942,7082,26593
2008-2012,B01001_3_under_5_years,17665,2554,4793,7660,32799,30185,6145,408,1597,37327,2076,14046,16954,177,4192,4458,1198,5140,772,416,977,1653,688,1817
2008-2012,B01001_4_5_to_9_years,13468,3341,5513,8475,32195,27163,4499,402,1859,36433,2434,14465,17101,124,4618,4666,1115,3109,548,468,895,1371,480,1906
2008-2012,B01001_5_10_to_14_years,12862,3542,5567,8655,32861,29005,3973,471,1522,37416,2378,12878,15803,276,5234,5926,1391,2386,679,382,505,1604,586,1911
2008-2012,B01001_6_15_to_17_years,8493,2396,3804,5483,20857,18747,2237,296,941,23011,1558,6945,9353,128,3412,3669,768,1514,347,235,372,791,253,951
2008-2012,B01001_7_18_and_19_years,11074,1335,2025,3241,10911,15645,1589,109,618,12822,767,3159,5300,71,1647,1941,544,915,366,39,500,514,187,968
2008-2012,B01001_8_20_years,6212,462,880,1280,5002,8335,1087,44,310,5500,326,1298,3271,31,996,930,212,427,256,93,623,454,161,280
2008-2012,B01001_9_21_years,4944,457,1012,1426,5212,8499,754,83,308,5907,413,1017,2761,33,896,1058,171,223,224,29,306,296,0,444
2008-2012,B01001_10_22_to_24_years,15919,1568,2741,4207,17078,19628,5997,223,814,19813,915,4494,7046,132,1786,3154,717,3089,467,353,691,761,430,903
2008-2012,B01001_11_25_to_29_years,31914,2205,4227,6698,32670,32388,16479,310,1457,39897,1613,9008,14412,115,3471,4360,998,8121,887,380,1140,1507,590,1396
2008-2012,B01001_12_30_to_34_years,27308,2115,4065,6872,31991,29606,12434,334,1548,39191,1578,11763,15058,122,3711,3873,1120,8229,869,493,615,1418,680,1543
2008-2012,B01001_13_35_to_39_years,21434,2550,4853,7857,32913,28910,8985,424,1781,38484,1921,14277,15611,209,4459,4084,1212,6871,728,417,861,1443,457,1623
2008-2012,B01001_14_40_to_44_years,20064,3336,5909,9261,34351,29954,8458,468,1772,42420,2557,15127,16486,258,4235,5547,1433,5721,870,405,729,1466,758,2164
2008-2012,B01001_15_45_to_49_years,19431,4238,6440,10116,36311,30403,7084,682,2018,43125,2886,13713,16252,272,5320,5769,1684,4916,720,391,760,1546,640,2300
2008-2012,B01001_16_50_to_54_years,18132,3846,5482,9166,35745,28456,6211,641,1699,41481,2788,10764,14094,330,4314,4948,1501,4314,816,460,669,1164,443,2024
2008-2012,B01001_17_55_to_59_years,16154,3235,4089,7554,30393,23976,5484,443,1583,33832,2386,7749,10498,327,3362,3845,1363,3871,736,323,478,942,199,1815
2008-2012,B01001_18_60_and_61_years,6093,889,1809,2718,11511,9000,2113,264,559,12694,804,2671,3605,77,1524,1039,432,1432,177,132,300,345,102,756
2008-2012,B01001_19_62_to_64_years,7532,1350,1709,3243,14398,10629,2767,345,616,17288,1121,2974,4811,265,1748,1436,553,1818,400,303,301,509,129,900
2008-2012,B01001_20_65_and_66_years,4261,882,1145,1904,7394,5845,1504,205,336,8851,618,1852,2529,82,991,934,333,872,181,126,130,216,60,473
2008-2012,B01001_21_67_to_69_years,5457,922,1196,2622,9642,7433,1366,172,681,9860,797,1952,3010,193,1261,1085,375,1184,249,107,219,197,76,587
2008-2012,B01001_22_70_to_74_years,6647,1003,1754,2404,11790,9335,2072,265,620,12307,1036,2100,3016,184,1136,1014,693,1263,324,85,206,363,71,824
2008-2012,B01001_23_75_to_79_years,5107,654,992,2051,9139,6174,1197,278,430,8279,563,1690,2012,95,873,703,352,861,177,95,156,201,66,474
2008-2012,B01001_24_80_to_84_years,3497,471,621,1352,6382,3509,883,101,334,5655,640,1119,874,120,727,384,262,560,236,87,103,77,26,349
2008-2012,B01001_25_85_years_and_over,2759,418,435,1001,6692,2351,969,41,197,4023,182,488,861,23,365,240,188,729,117,38,126,104,0,185
2008-2012,B01001_26_female,319332,45005,76046,119022,506587,450267,104790,7134,23294,548154,33138,159431,203293,3796,62576,64383,18952,72772,11566,6443,13270,19001,7327,26952
2008-2012,B01001_27_under_5_years,17053,2357,4584,7270,31274,28856,5816,351,1624,35708,1789,13495,16325,165,4016,4265,1178,4961,582,382,770,1535,625,1527
2008-2012,B01001_28_5_to_9_years,13460,3212,4858,7931,31360,26527,4969,431,1815,35236,2545,14247,15885,256,4533,4941,1393,3451,567,364,642,1556,707,1801
2008-2012,B01001_29_10_to_14_years,12466,3412,5683,8367,31701,27997,3268,516,1639,34966,2191,12581,15468,175,4879,5472,1225,2039,591,469,577,1160,454,1628
2008-2012,B01001_30_15_to_17_years,8519,2311,3820,5118,19832,17662,2119,348,983,21323,1450,6784,9037,144,3028,3541,729,1467,490,307,263,1051,317,1085
2008-2012,B01001_31_18_and_19_years,13882,1066,1909,2999,9628,14363,1379,92,530,11602,797,2832,4855,67,1528,1801,440,739,143,91,989,454,166,858
2008-2012,B01001_32_20_years,6577,500,976,1385,4269,6805,782,19,233,5577,279,1047,2116,0,683,712,259,595,130,52,617,329,158,363
2008-2012,B01001_33_21_years,5847,427,799,1718,4333,7792,648,50,126,5812,246,923,2558,91,575,758,215,780,182,142,668,142,15,522
2008-2012,B01001_34_22_to_24_years,19886,1343,2625,3653,17878,18915,7431,210,687,17966,1013,4388,7271,29,2213,2185,571,3058,459,136,1138,966,314,964
2008-2012,B01001_35_25_to_29_years,37314,2226,4399,6919,33564,32794,16970,261,1351,39335,1524,9815,14421,207,3710,3789,1065,9453,1041,497,1217,1346,680,1440
2008-2012,B01001_36_30_to_34_years,29138,2342,4619,7150,34528,31839,12031,358,1573,39687,1735,13380,15916,120,4108,3955,1228,8563,700,434,924,1515,674,1606
2008-2012,B01001_37_35_to_39_years,22627,2867,5952,7971,36400,32177,8508,395,1698,40579,2049,14656,16886,209,4503,4528,1116,6661,821,353,720,1483,607,1863
2008-2012,B01001_38_40_to_44_years,18134,3762,6788,9820,37814,33329,7340,576,1521,43795,2680,15313,16431,293,5004,5824,1438,5602,823,496,556,1223,734,2171
2008-2012,B01001_39_45_to_49_years,18981,4319,7047,10405,40718,35219,6527,611,1845,45350,3054,13763,16453,284,5237,6082,1631,4713,804,477,736,1484,393,2181
2008-2012,B01001_40_50_to_54_years,19068,3976,5672,9328,39646,33629,6129,593,1770,43753,2824,10601,14152,304,4607,4862,1451,4695,862,618,744,1330,414,2010
2008-2012,B01001_41_55_to_59_years,17910,2874,4552,7278,34627,30275,6136,587,1358,37087,2179,7870,10520,299,3844,3705,1313,4496,874,398,575,996,263,2063
2008-2012,B01001_42_60_and_61_years,7223,1088,1745,3116,13709,10730,1986,224,647,13837,847,2566,4312,145,1530,1144,392,1828,214,228,366,341,149,568
2008-2012,B01001_43_62_to_64_years,9930,1534,2110,3585,15189,13062,2469,250,855,17310,1300,3335,5042,221,1682,1480,646,2128,433,260,219,443,117,850
2008-2012,B01001_44_65_and_66_years,5259,971,1096,1713,8829,7901,1531,171,516,9043,669,1833,2402,56,1136,761,436,1063,148,95,138,93,66,595
2008-2012,B01001_45_67_to_69_years,6624,771,1528,2577,11018,9364,1665,294,533,10283,945,2373,3496,146,1210,965,276,1498,370,112,188,367,115,617
2008-2012,B01001_46_70_to_74_years,8932,1111,1909,3298,14616,11164,2136,163,642,13810,1006,2581,3859,269,1457,1475,765,1471,380,199,368,375,116,773
2008-2012,B01001_47_75_to_79_years,7169,1000,1182,2377,12045,8728,1863,287,508,10259,714,1843,2502,65,1095,796,441,1224,274,114,242,238,181,463
2008-2012,B01001_48_80_to_84_years,6032,741,1101,2384,10133,5479,1213,182,379,7434,728,1572,1490,113,1009,672,405,1030,376,62,236,329,34,425
2008-2012,B01001_49_85_years_and_over,7301,795,1092,2660,13476,5660,1874,165,461,8402,574,1633,1896,138,989,670,339,1257,302,157,377,245,28,579
2008-2012,B02001_1_total,605759,88774,147107,234268,974824,865443,209077,14143,46894,1083770,65495,314980,404011,7440,122854,129446,37567,140337,22712,12300,24932,37943,14409,53545
