estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2012-2016,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2012-2016,FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5
2012-2016,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2012-2016,B25127_70_5_to_19,14395,6,382,1388,16591,30354,3182,118,327,17974,90,1146,3055,6,91,187,150,6603,657,287,1579,609,0,301
2012-2016,B25127_71_20_to_49,3502,45,235,145,2109,1853,951,13,0,2048,11,20,377,0,61,9,0,954,11,51,287,7,13,56
2012-2016,B25127_72_50_or_more,15735,44,175,248,14114,6164,8209,0,19,7729,23,139,347,0,135,10,12,6876,137,489,120,51,0,0
2012-2016,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",0,13,94,48,14,109,55,0,9,189,52,19,88,0,99,21,0,0,0,0,0,0,0,232
2012-2016,B25127_74_built_1940_to_1959,42294,448,817,1893,16918,20653,12498,90,537,10849,635,1427,2285,87,420,649,906,7310,460,513,505,181,245,473
2012-2016,"B25127_75_1,_detached__or_attached",6736,381,541,1230,6689,7538,2769,60,271,5693,521,822,1226,86,323,564,568,1670,230,144,191,153,223,303
2012-2016,B25127_76_2_to_4,7206,7,110,224,1078,1355,1693,30,76,787,12,119,260,1,10,82,222,751,13,43,115,0,0,121
2012-2016,B25127_77_5_to_19,12705,12,95,390,4510,9600,4024,0,123,2899,84,354,738,0,46,3,116,2752,201,40,154,28,22,19
2012-2016,B25127_78_20_to_49,4778,8,61,21,945,739,1113,0,48,551,0,43,21,0,0,0,0,510,0,27,7,0,0,0
2012-2016,B25127_79_50_or_more,10846,29,0,28,3634,1411,2886,0,9,807,18,89,40,0,26,0,0,1627,16,259,38,0,0,11
2012-2016,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",23,11,10,0,62,10,13,0,10,112,0,0,0,0,15,0,0,0,0,0,0,0,0,19
