estimate_year,index,DC_001,MD_009,MD_017,MD_021,MD_031,MD_033,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2012-2016,FILEID,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF,ACSSF
2012-2016,FILETYPE,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5,2016e5
2012-2016,STATE,dc,md,md,md,md,md,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,va,wv
2012-2016,CHARITER,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
2012-2016,SEQUENCE,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003,0003
2012-2016,LOGRECNO,0000006,0000016,0000020,0000022,0000027,0000028,0000019,0000034,0000036,0000041,0000042,0000065,0000085,0000087,0000097,0000098,0000102,0000108,0000117,0000118,0000120,0000127,0000128,0000031
2012-2016,SUMMARY_LEVEL,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050,050
2012-2016,STATE_FIPS,11,24,24,24,24,24,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,54
2012-2016,GEO_ID,05000US11001,05000US24009,05000US24017,05000US24021,05000US24031,05000US24033,05000US51013,05000US51043,05000US51047,05000US51059,05000US51061,05000US51107,05000US51153,05000US51157,05000US51177,05000US51179,05000US51187,05000US51510,05000US51600,05000US51610,05000US51630,05000US51683,05000US51685,05000US54037
2012-2016,GEO_NAME,"District of Columbia, District of Columbia","Calvert County, Maryland","Charles County, Maryland","Frederick County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Arlington County, Virginia","Clarke County, Virginia","Culpeper County, Virginia","Fairfax County, Virginia","Fauquier County, Virginia","Loudoun County, Virginia","Prince William County, Virginia","Rappahannock County, Virginia","Spotsylvania County, Virginia","Stafford County, Virginia","Warren County, Virginia","Alexandria city, Virginia","Fairfax city, Virginia","Falls Church city, Virginia","Fredericksburg city, Virginia","Manassas city, Virginia","Manassas Park city, Virginia","Jefferson County, West Virginia"
2012-2016,B01003_1_total,659009,90527,154357,243465,1026371,897693,226092,14307,48952,1132887,68025,362435,443630,7416,129181,139548,38807,151473,23620,13597,27853,41149,15827,55531
2012-2016,B01001_1_total,659009,90527,154357,243465,1026371,897693,226092,14307,48952,1132887,68025,362435,443630,7416,129181,139548,38807,151473,23620,13597,27853,41149,15827,55531
2012-2016,B01001_2_male,312629,44966,74489,120072,494612,431752,112644,7087,24612,560803,33659,179315,220996,3643,63429,70245,19357,73054,11626,6577,13066,20455,8387,27512
2012-2016,B01001_3_under_5_years,21367,2640,4843,7362,34300,30543,6938,390,1716,38435,2016,14347,17581,114,4208,4487,1073,5788,802,407,1183,1693,830,1717
2012-2016,B01001_4_5_to_9_years,16364,2467,5439,7853,34586,29192,5696,654,1651,39439,2284,16199,18722,134,4494,5032,1219,3719,713,559,904,1655,761,1901
2012-2016,B01001_5_10_to_14_years,12316,4006,5617,9205,33650,27211,4605,260,2001,37886,2518,15222,17073,225,5222,5782,1325,2719,578,494,776,1422,493,1919
2012-2016,B01001_6_15_to_17_years,7757,2311,3766,5475,20735,16779,2423,402,1003,23388,1566,8279,10271,153,3120,3583,805,1658,377,294,323,786,397,1134
2012-2016,B01001_7_18_and_19_years,10131,1281,2114,3460,11735,14480,1406,143,672,14116,779,4134,5654,25,1706,2076,512,885,214,117,563,456,225,841
2012-2016,B01001_8_20_years,5632,488,1012,1509,5673,7429,730,71,374,5558,376,1442,3743,57,924,846,294,556,142,108,269,201,52,409
2012-2016,B01001_9_21_years,5994,616,998,1559,5242,7156,641,48,323,5625,301,1376,2880,0,677,1036,171,398,215,61,406,258,224,447
2012-2016,B01001_10_22_to_24_years,15518,1730,3181,4504,18828,20244,5873,225,703,22322,1129,5989,7903,153,2486,4020,817,2382,479,234,734,1091,244,803
2012-2016,B01001_11_25_to_29_years,36030,2516,4816,7332,32424,34532,15828,371,1376,38050,1840,9172,14636,199,3823,4829,1131,7504,973,325,1508,1612,628,1468
2012-2016,B01001_12_30_to_34_years,34033,2303,4496,7497,34863,32496,14332,314,1454,41749,1789,12783,16973,150,3984,4623,1228,9227,868,477,736,1777,773,1654
2012-2016,B01001_13_35_to_39_years,24647,2389,4479,6942,35556,29521,10308,304,1539,40627,1980,14549,16364,147,3919,4623,1176,7375,721,531,1093,1443,684,1649
2012-2016,B01001_14_40_to_44_years,21493,2759,5378,8898,33266,29932,8801,441,1831,41161,2178,16972,17537,270,4437,4902,1090,6505,860,503,768,1659,571,1935
2012-2016,B01001_15_45_to_49_years,19235,3837,5964,9438,35292,30081,7796,533,1908,41644,2525,15323,16752,224,4824,5525,1603,5290,848,427,677,1389,745,2105
2012-2016,B01001_16_50_to_54_years,19353,4155,6143,9939,36155,30496,6961,639,1947,42401,2962,13772,16110,288,4956,5575,1626,4955,830,520,696,1353,501,2249
2012-2016,B01001_17_55_to_59_years,17605,3252,4959,8454,33775,26407,5740,655,1594,37398,2299,9529,13166,251,4252,4659,1379,4053,811,353,731,1328,464,1808
2012-2016,B01001_18_60_and_61_years,6072,1274,1771,2843,12074,9758,1897,190,440,13401,909,3296,3856,163,1598,1144,521,1476,253,211,276,296,130,780
2012-2016,B01001_19_62_to_64_years,8580,1604,2093,3963,16334,13294,3265,236,912,18018,1463,4141,5432,233,1854,1783,794,2048,439,309,204,608,149,1062
2012-2016,B01001_20_65_and_66_years,4309,853,1267,2392,9653,7868,1534,140,346,10638,744,2564,3191,106,1249,1011,438,1407,241,100,272,344,70,565
2012-2016,B01001_21_67_to_69_years,5774,1167,1554,3072,11816,9356,2059,305,663,13271,1135,2646,3880,187,1362,1243,487,1365,320,125,219,238,161,845
2012-2016,B01001_22_70_to_74_years,8553,1452,2084,3311,14501,10404,2519,293,986,14655,1179,3027,4288,248,1933,1561,767,1662,281,167,238,437,190,1018
2012-2016,B01001_23_75_to_79_years,4990,639,1083,2314,9932,7263,1265,179,609,9542,805,2083,2351,177,1054,926,370,880,292,104,211,198,81,621
2012-2016,B01001_24_80_to_84_years,3561,527,824,1371,7166,4123,959,190,297,6364,558,1419,1584,99,860,534,320,561,220,107,174,105,0,356
2012-2016,B01001_25_85_years_and_over,3315,700,608,1379,7056,3187,1068,104,267,5115,324,1051,1049,40,487,445,211,641,149,44,105,106,14,226
2012-2016,B01001_26_female,346380,45561,79868,123393,531759,465941,113448,7220,24340,572084,34366,183120,222634,3773,65752,69303,19450,78419,11994,7020,14787,20694,7440,28019
2012-2016,B01001_27_under_5_years,20588,2235,4634,7116,32499,29396,6554,320,1435,36664,1921,13705,16674,260,3945,4424,1191,5392,714,472,811,1715,323,1458
2012-2016,B01001_28_5_to_9_years,16058,2700,4674,7534,32533,28174,5703,286,1873,37859,2107,15132,17550,215,4676,4845,1301,3815,585,405,809,1582,734,1722
2012-2016,B01001_29_10_to_14_years,12443,3401,5760,8661,33477,26192,4226,487,1673,36028,2349,15523,16663,162,4743,5677,1199,2633,652,475,534,1335,495,1879
2012-2016,B01001_30_15_to_17_years,7792,2182,3654,5220,19924,16242,2402,295,998,22005,1524,8076,9729,102,2921,3532,728,1588,511,251,459,860,276,1034
2012-2016,B01001_31_18_and_19_years,12344,1158,1999,2990,10897,13735,1629,241,579,12939,844,3817,5094,48,1574,1893,503,768,273,94,944,537,222,782
2012-2016,B01001_32_20_years,6167,644,1082,1481,4539,6365,629,59,184,5542,260,1105,2501,46,968,824,344,649,168,53,710,297,8,490
2012-2016,B01001_33_21_years,6026,429,604,1208,4829,6902,496,108,196,6063,406,1608,2419,15,680,774,258,851,229,34,1105,147,81,387
2012-2016,B01001_34_22_to_24_years,19515,1612,3274,4765,18947,19768,6328,157,919,20234,1138,5647,8630,118,2370,2814,459,2516,351,211,882,884,219,918
2012-2016,B01001_35_25_to_29_years,42094,2206,4827,7223,33634,33948,16676,272,1330,36924,1690,9747,14536,166,3965,4219,1095,8792,773,470,1214,1661,687,1544
2012-2016,B01001_36_30_to_34_years,37066,2504,5139,7754,36613,33388,13831,418,1396,41838,1759,14449,17286,53,4177,4478,1258,9837,751,475,963,1676,738,1625
2012-2016,B01001_37_35_to_39_years,25774,2325,5306,7540,36415,32038,9877,376,1602,41948,2258,16169,17373,320,4367,4921,986,7655,882,438,1074,1475,524,1923
2012-2016,B01001_38_40_to_44_years,20866,3392,6104,8770,37638,31005,8441,450,1532,42680,2055,16146,17302,172,4430,4859,1311,6105,669,437,795,1397,733,1918
2012-2016,B01001_39_45_to_49_years,18976,3940,6881,9759,39249,34151,7113,546,1808,43455,2733,15332,17024,262,5143,5825,1433,5390,849,593,642,1391,675,2161
2012-2016,B01001_40_50_to_54_years,19295,4208,6678,10095,40204,35328,6473,614,1864,44041,2989,13153,16010,294,5108,5647,1682,4979,881,646,808,1511,444,2219
2012-2016,B01001_41_55_to_59_years,18526,3421,5474,9027,37074,31442,5936,670,1843,39575,2370,10181,12260,321,4573,4283,1407,4756,872,419,750,1273,375,1985
2012-2016,B01001_42_60_and_61_years,7653,1242,1945,2875,14252,11621,2154,222,444,14133,1009,3283,4498,128,1523,1567,436,1481,237,295,177,488,164,791
2012-2016,B01001_43_62_to_64_years,10533,1572,2283,3915,18472,17143,3294,231,972,19174,1443,3807,6568,213,1863,1707,795,2554,500,208,432,524,205,1070
2012-2016,B01001_44_65_and_66_years,5909,1064,1475,2662,10968,9594,1973,217,529,10941,765,2457,3517,141,1553,985,485,1334,262,209,182,306,74,702
2012-2016,B01001_45_67_to_69_years,8154,1166,2063,3083,13718,11902,2144,342,845,14049,1085,3111,4061,150,1550,1672,510,1725,430,139,281,412,68,770
2012-2016,B01001_46_70_to_74_years,9981,1357,2133,3831,17951,14602,2654,264,816,16867,1421,4004,5489,247,2148,1718,762,2025,359,205,422,421,198,1048
2012-2016,B01001_47_75_to_79_years,7838,1027,1597,2871,13478,9309,1636,196,495,11081,802,2731,3097,190,1302,1137,567,1328,464,251,307,274,107,647
2012-2016,B01001_48_80_to_84_years,5507,848,1206,2103,10427,6896,1350,220,520,8316,718,1987,2154,59,1101,750,400,1066,282,73,277,288,46,461
2012-2016,B01001_49_85_years_and_over,7275,928,1076,2910,14021,6800,1929,229,487,9728,720,1950,2199,91,1072,752,340,1180,300,167,209,240,44,485
2012-2016,B02001_1_total,659009,90527,154357,243465,1026371,897693,226092,14307,48952,1132887,68025,362435,443630,7416,129181,139548,38807,151473,23620,13597,27853,41149,15827,55531
2012-2016,B02001_2_white_alone,266035,73873,73744,197960,566239,173881,163181,12757,38196,713476,59339,244078,268015,6836,95246,96726,35282,95026,16385,10472,17816,28650,10533,48881
2012-2016,B02001_3_black_or_african_american_alone,318598,11124,65796,22196,182774,570138,19477,642,7073,107346,5141,26600,91551,311,20763,23914,1520,32678,1136,742,6446,5660,2055,3758
2012-2016,B02001_4_american_indian_and_alaska_native_alone,2174,77,1026,646,2857,3449,883,58,226,2218,172,841,1529,14,560,439,63,240,99,0,54,333,21,98
2012-2016,B02001_5_asian_alone,24036,1371,4760,10701,149770,38063,22655,156,717,209723,916,60404,35253,48,3273,4552,422,9804,3641,1243,629,2195,1574,768
2012-2016,B02001_6_native_hawaiian_and_other_pacific_islander_alone,271,0,162,146,503,269,195,0,4,726,2,325,574,0,159,115,4,46,11,0,26,103,13,0
2012-2016,B02001_7_some_other_race_alone,29650,530,1169,4187,81619,86885,12744,292,884,49776,523,12586,22871,19,5245,7443,208,6238,1084,520,1277,2528,937,541
2012-2016,B02001_8_two_or_more_races,18245,3552,7700,7629,42609,25008,6957,402,1852,49622,1932,17601,23837,188,3935,6359,1308,7441,1264,620,1605,1680,694,1485
2012-2016,B02001_9_two_races_including_some_other_race,2561,110,370,842,7448,3809,947,11,153,6419,206,2602,2834,35,533,936,87,1676,380,67,305,376,99,220
2012-2016,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races",15684,3442,7330,6787,35161,21199,6010,391,1699,43203,1726,14999,21003,153,3402,5423,1221,5765,884,553,1300,1304,595,1265
2012-2016,B11001_1_total,276546,31479,54105,88995,367764,306711,100707,5591,16904,393358,23890,117073,138102,3247,43105,44311,14174,68063,8476,5301,10271,12430,4730,20634
2012-2016,B11001_2_family_households,121101,23705,39377,64219,256128,202160,46952,3650,12575,280739,17262,91442,106561,2255,33196,35967,10239,33043,5937,3266,5491,9476,3420,14516
2012-2016,B11001_3_married-couple_family,68707,18209,28481,50628,198439,119956,38140,2788,9727,228435,14589,76715,83377,1910,26268,28966,7501,24538,4684,2634,3342,7477,2655,11365
2012-2016,B11001_4_other_family,52394,5496,10896,13591,57689,82204,8812,862,2848,52304,2673,14727,23184,345,6928,7001,2738,8505,1253,632,2149,1999,765,3151
2012-2016,"B11001_5_male_householder,_no_wife_present",10065,1595,2189,4294,16233,20713,2841,168,961,15835,818,4390,7378,160,1812,1829,776,2657,407,113,244,528,204,941
2012-2016,"B11001_6_female_householder,_no_husband_present",42329,3901,8707,9297,41456,61491,5971,694,1887,36469,1855,10337,15806,185,5116,5172,1962,5848,846,519,1905,1471,561,2210
2012-2016,B11001_7_nonfamily_households,155445,7774,14728,24776,111636,104551,53755,1941,4329,112619,6628,25631,31541,992,9909,8344,3935,35020,2539,2035,4780,2954,1310,6118
2012-2016,B11001_8_householder_living_alone,119983,6132,12233,19430,91530,87037,39365,1596,3526,88252,5343,20012,25471,863,7991,6648,3215,28288,1680,1758,3865,2394,985,4596
2012-2016,B11001_9_householder_not_living_alone,35462,1642,2495,5346,20106,17514,14390,345,803,24367,1285,5619,6070,129,1918,1696,720,6732,859,277,915,560,325,1522
2012-2016,B15002_1_total,462997,60627,101706,163563,703977,597885,169813,10161,32652,768784,46507,230834,280543,5589,84467,87903,26608,115156,16617,9328,16441,26230,10243,37690
2012-2016,B15002_2_male,217550,29427,47519,79145,329863,278718,84332,4894,16169,374034,22690,112327,137169,2782,40592,43383,13141,54949,8106,4303,7908,12893,5161,18341
2012-2016,B15002_3_no_schooling_completed,2431,113,426,757,4991,4815,1110,13,195,5407,236,1440,1875,14,388,131,111,508,83,9,44,427,103,118
2012-2016,B15002_4_nursery_to_4th_grade,1573,75,108,262,3391,5414,171,3,41,3512,70,433,1209,19,57,111,78,649,71,0,222,171,39,77
2012-2016,B15002_5_5th_and_6th_grade,2017,65,239,290,5171,9693,1066,42,459,4962,161,1181,2654,71,444,194,154,900,92,0,59,584,190,91
2012-2016,B15002_6_7th_and_8th_grade,3005,388,464,747,3375,5097,678,207,542,3639,283,836,1374,169,753,449,298,428,19,0,45,527,147,591
2012-2016,B15002_7_9th_grade,2810,405,414,839,3678,6314,232,123,410,4167,209,680,2422,118,657,348,235,509,63,32,28,187,244,290
2012-2016,B15002_8_10th_grade,3262,417,637,1172,2179,4576,307,100,468,2515,352,971,1734,46,1037,412,367,432,79,0,157,217,34,425
2012-2016,B15002_9_11th_grade,4703,461,961,1106,2575,4773,581,88,604,2273,381,640,1567,29,827,674,450,396,84,0,83,216,212,428
2012-2016,"B15002_10_12th_grade,_no_diploma",2776,482,740,1116,4521,6217,900,157,207,4756,390,1095,2671,17,627,605,375,834,119,0,118,252,123,242
2012-2016,B15002_11_high_school_graduate_(includes_equivalency),38181,9560,16382,20569,43826,75925,6886,1484,5609,42566,6611,14373,28335,736,12788,10208,5260,6361,1281,249,1992,3470,1481,5780
2012-2016,"B15002_12_some_college,_less_than_1_year",6358,2700,3374,4930,11809,16024,1528,311,1083,12294,1701,4561,8057,138,2520,2860,833,1688,302,84,236,616,348,1303
2012-2016,"B15002_13_some_college,_1_or_more_years,_no_degree",20804,5011,8086,10683,32672,44518,5751,516,2077,35852,3170,12000,20869,327,5608,7292,1560,5905,972,293,1059,1596,577,2280
2012-2016,B15002_14_associate's_degree,6210,1654,3248,5442,14537,14248,2824,401,1013,17045,1433,5484,8518,158,2432,2772,990,1984,248,73,294,921,283,1060
2012-2016,B15002_15_bachelor's_degree,52872,4491,7463,18460,84493,47754,28580,835,2113,113582,4443,39430,31167,547,7585,9494,1684,16375,2437,1551,2293,2383,910,3540
2012-2016,B15002_16_master's_degree,39657,2639,3941,8766,60857,24091,20972,358,871,85740,2426,23227,20269,250,3914,6669,554,11317,1585,1294,842,982,324,1460
2012-2016,B15002_17_professional_school_degree,20242,516,554,1699,26493,4320,8416,144,335,20166,509,3123,2501,71,551,550,113,4595,311,403,200,181,93,302
2012-2016,B15002_18_doctorate_degree,10649,450,482,2307,25295,4939,4330,112,142,15558,315,2853,1947,72,404,614,79,2068,360,315,236,163,53,354
2012-2016,B15002_19_female,245447,31200,54187,84418,374114,319167,85481,5267,16483,394750,23817,118507,143374,2807,43875,44520,13467,60207,8511,5025,8533,13337,5082,19349
2012-2016,B15002_20_no_schooling_completed,2573,201,319,864,6296,4802,1697,28,224,6118,200,1571,2764,5,270,178,107,822,118,0,75,604,66,74
2012-2016,B15002_21_nursery_to_4th_grade,1729,7,63,160,2916,4030,492,0,56,2660,56,636,1570,0,136,118,9,460,110,37,27,107,90,65
2012-2016,B15002_22_5th_and_6th_grade,2108,30,265,656,5319,6651,770,44,169,5775,110,1142,2257,24,289,146,93,983,83,7,25,338,128,75
2012-2016,B15002_23_7th_and_8th_grade,3176,186,435,771,3954,4131,676,167,487,4088,382,948,1376,59,703,332,264,652,77,0,30,337,80,312
2012-2016,B15002_24_9th_grade,2752,218,175,724,3449,4474,361,66,283,3886,193,631,1710,39,393,305,340,697,64,48,70,213,66,281
2012-2016,B15002_25_10th_grade,3567,243,701,1054,2613,3845,352,147,429,2498,401,894,1975,46,638,560,319,398,128,6,78,131,31,525
2012-2016,B15002_26_11th_grade,5097,525,679,889,2643,4722,486,63,512,2098,305,685,1260,56,901,702,318,597,50,0,276,253,160,407
2012-2016,"B15002_27_12th_grade,_no_diploma",2931,250,677,770,5134,5260,711,30,255,5317,247,1299,2363,4,682,414,225,662,117,52,97,286,83,238
2012-2016,B15002_28_high_school_graduate_(includes_equivalency),45186,9144,16514,20682,54990,78761,7027,1455,4927,55161,6459,16078,31288,746,13705,10124,4784,7355,1402,354,2121,3237,1322,6354
2012-2016,"B15002_29_some_college,_less_than_1_year",10024,2825,4463,6288,15018,20834,1733,254,1353,14771,1953,5453,9374,179,3500,3145,1230,2161,419,110,688,870,217,1525
2012-2016,"B15002_30_some_college,_1_or_more_years,_no_degree",25122,4996,9674,10726,38287,54013,5465,866,2586,40478,3467,13584,20317,549,6462,8219,1702,5599,1072,286,1115,1713,810,2551
2012-2016,B15002_31_associate's_degree,8286,2916,4832,7072,21584,20688,2917,549,1373,23676,2137,8396,12327,228,3651,4787,1172,2677,470,206,548,1068,293,1334
2012-2016,B15002_32_bachelor's_degree,55380,5547,9293,19953,102480,60106,30074,880,2572,125028,5199,41744,34526,499,7800,9743,1875,17514,2645,1938,1841,2556,1203,3474
2012-2016,B15002_33_master's_degree,50709,3389,5172,10834,73928,37776,23445,610,1099,79071,2145,21061,17415,306,4072,5033,899,13875,1360,1329,1217,1426,410,1846
2012-2016,B15002_34_professional_school_degree,18294,509,555,1521,18581,4524,6228,34,103,15450,395,2404,1767,28,383,411,65,3775,247,444,168,151,52,158
2012-2016,B15002_35_doctorate_degree,8513,214,370,1454,16922,4550,3047,74,55,8675,168,1981,1085,39,290,303,65,1980,149,208,157,47,71,130
2012-2016,B19001_1_total,276546,31479,54105,88995,367764,306711,100707,5591,16904,393358,23890,117073,138102,3247,43105,44311,14174,68063,8476,5301,10271,12430,4730,20634
2012-2016,"B19001_2_less_than_$10,000",28179,1169,2404,3149,12974,12133,4053,400,629,10807,723,2028,3341,149,1481,970,646,2506,264,100,799,457,17,1109
2012-2016,"B19001_3_$10,000_to_$14,999",12205,508,1192,2125,7073,6869,1646,204,624,5578,505,1250,1888,188,1015,557,702,1372,61,88,538,142,178,619
2012-2016,"B19001_4_$15,000_to_$19,999",10112,578,1299,1913,6454,8334,2018,99,745,5867,609,1425,2160,155,1033,969,454,1312,141,140,448,343,189,947
2012-2016,"B19001_5_$20,000_to_$24,999",9641,711,1435,2577,8844,9429,2251,140,813,6313,784,1764,3238,133,1253,763,643,1966,222,106,507,249,157,903
2012-2016,"B19001_6_$25,000_to_$29,999",9405,760,1362,2678,8971,9786,2226,252,629,7793,573,1614,3127,136,1465,1014,542,1588,216,129,410,402,124,753
2012-2016,"B19001_7_$30,000_to_$34,999",9225,949,1583,2769,9944,10923,1972,246,680,8266,836,1971,3482,172,1247,1112,633,1850,233,25,552,556,156,791
2012-2016,"B19001_8_$35,000_to_$39,999",7951,654,1407,2856,9909,10783,1933,134,710,7812,756,2159,4018,123,1351,1358,613,2260,231,105,461,547,214,713
2012-2016,"B19001_9_$40,000_to_$44,999",9150,927,1450,2880,10348,12794,1994,294,711,8080,605,2536,4355,102,1839,1553,587,2599,166,126,488,601,86,765
2012-2016,"B19001_10_$45,000_to_$49,999",7955,696,1312,2428,10748,11354,2074,127,696,8137,755,2599,3981,220,1477,1123,674,1885,239,88,606,410,89,551
2012-2016,"B19001_11_$50,000_to_$59,999",15815,1619,2981,6645,21450,24908,4921,372,1376,19161,1316,5548,8656,330,3385,3087,1149,4132,599,369,772,1212,377,1718
2012-2016,"B19001_12_$60,000_to_$74,999",21155,3238,5057,8983,31070,34229,7477,674,1889,30550,2208,7732,12702,268,4846,4215,1518,6825,736,330,857,1369,777,2013
2012-2016,"B19001_13_$75,000_to_$99,999",29158,4405,8460,12347,45319,45146,12744,627,2738,49042,3185,12750,19180,361,6499,5926,2024,9411,961,641,1241,1964,677,2769
2012-2016,"B19001_14_$100,000_to_$124,999",25245,3843,6706,10911,40578,35589,11765,580,1543,47547,2975,14699,17397,264,5064,5304,1450,7691,992,624,848,1233,585,2603
2012-2016,"B19001_15_$125,000_to_$149,999",17922,3938,5364,8471,30582,24547,9179,513,1170,37571,2367,12889,14025,160,3766,4414,1037,5705,794,338,467,1269,374,1460
2012-2016,"B19001_16_$150,000_to_$199,999",24110,4265,6734,9854,44291,28328,14000,505,1147,56093,2809,19030,18163,280,4273,5779,949,6751,1195,750,688,946,427,1589
2012-2016,"B19001_17_$200,000_or_more",39318,3219,5359,8409,69209,21559,20454,424,804,84741,2884,27079,18389,206,3111,6167,553,10210,1426,1342,589,730,303,1331
2012-2016,B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),72935,96808,91373,85715,100352,75925,108706,71986,66160,114329,91221,125672,98546,58026,79742,97528,63734,89200,104065,115244,53980,74371,75027,69753
2012-2016,B25001_1_total,306711,34613,58014,93645,385485,330708,110763,6283,18134,411072,26241,122490,144314,3950,46263,46427,16146,75087,8801,5709,11387,13385,4892,22573
2012-2016,B25003_1_total,276546,31479,54105,88995,367764,306711,100707,5591,16904,393358,23890,117073,138102,3247,43105,44311,14174,68063,8476,5301,10271,12430,4730,20634
2012-2016,B25003_2_owner_occupied,112672,25783,41874,65946,241201,189084,44531,4162,12118,265351,18660,90656,98292,2412,33249,33330,10737,28710,5992,3162,3575,7727,3112,15324
2012-2016,B25003_3_renter_occupied,163874,5696,12231,23049,126563,117627,56176,1429,4786,128007,5230,26417,39810,835,9856,10981,3437,39353,2484,2139,6696,4703,1618,5310
2012-2016,B25024_1_total,306711,34613,58014,93645,385485,330708,110763,6283,18134,411072,26241,122490,144314,3950,46263,46427,16146,75087,8801,5709,11387,13385,4892,22573
2012-2016,"B25024_2_1,_detached",36352,29800,41373,58939,183785,169818,29301,5413,14256,194576,22065,65869,80007,3825,36180,34934,13619,10522,4725,2260,4519,5581,2739,17029
2012-2016,"B25024_3_1,_attached",76963,2299,10640,18812,71517,53181,10916,167,1373,95882,1864,35327,37655,25,3710,6345,762,15606,1854,760,1281,3709,989,1841
2012-2016,B25024_4_2,9742,367,135,1064,2123,1510,996,136,192,1930,325,490,957,18,74,105,178,941,8,0,313,120,32,392
2012-2016,B25024_5_3_or_4,22761,216,826,1485,4817,5373,4200,131,248,5089,217,1284,1522,1,279,239,563,2278,103,93,526,487,39,273
2012-2016,B25024_6_5_to_9,20446,144,753,2610,19496,23141,5982,86,673,19638,152,4067,4178,40,438,1303,240,6708,274,66,1050,801,68,480
2012-2016,B25024_7_10_to_19,34134,548,996,6555,36907,47567,8552,72,544,42802,771,8784,12948,0,1360,1698,446,10283,1387,442,2087,1895,268,597
2012-2016,B25024_8_20_to_49,24719,258,1352,1412,10811,6561,5421,44,157,11912,183,2040,2312,0,794,248,9,4051,82,217,947,205,352,96
2012-2016,B25024_9_50_or_more,81451,641,1212,2061,55229,21840,45166,220,118,36892,268,3884,2978,0,937,424,65,24649,368,1851,664,402,396,86
2012-2016,B25024_10_mobile_home,85,340,701,661,640,1661,178,14,532,2224,396,640,1742,41,2450,1131,264,32,0,20,0,185,9,1763
2012-2016,"B25024_11_boat,_rv,_van,_etc.",58,0,26,46,160,56,51,0,41,127,0,105,15,0,41,0,0,17,0,0,0,0,0,16
2012-2016,B25077_1_median_value_(dollars),506100,344300,287600,306100,460100,261400,623300,333000,255000,516800,363800,462100,345900,362100,252900,314800,223300,520700,487700,724000,321500,293500,257800,215300
2012-2016,B25034_1_total,306711,34613,58014,93645,385485,330708,110763,6283,18134,411072,26241,122490,144314,3950,46263,46427,16146,75087,8801,5709,11387,13385,4892,22573
2012-2016,B25034_2_built_2014_or_later,1900,134,429,394,1681,1415,603,0,81,1151,97,1620,951,0,272,246,17,495,45,63,7,7,14,84
2012-2016,B25034_3_built_2010_to_2013,7479,798,2293,2357,7576,4941,3733,71,310,6542,458,9026,4988,61,1068,2123,211,1104,92,127,902,263,109,420
2012-2016,B25034_4_built_2000_to_2009,26335,7059,12772,16935,43234,36460,17022,1230,4727,48062,5221,43762,42343,448,12946,12663,2658,8182,785,742,1861,1223,1340,5420
2012-2016,B25034_5_built_1990_to_1999,8955,8922,11976,20825,47691,45481,10467,800,3129,63996,4254,32855,26425,622,12908,12781,2551,8324,995,339,1035,2280,1293,4090
2012-2016,B25034_6_built_1980_to_1989,13853,7333,10376,16344,81650,46113,12354,709,3113,96649,5730,14410,28389,530,10049,8466,2456,7003,568,392,955,4790,395,3375
2012-2016,B25034_7_built_1970_to_1979,24891,4971,9480,13075,62645,51367,11495,1164,2254,86071,3972,8956,22824,428,5488,5585,2487,13032,1082,796,2490,2398,239,3480
2012-2016,B25034_8_built_1960_to_1969,35776,1756,5257,5952,56749,66959,12277,480,1467,57326,1668,4424,10703,408,1357,1976,1366,13797,2424,890,1071,1459,325,1518
2012-2016,B25034_9_built_1950_to_1959,40091,1439,2375,4530,46651,46146,16604,416,997,38295,1321,2791,4322,199,1014,1355,1362,8665,2203,1122,740,433,1114,1147
2012-2016,B25034_10_built_1940_to_1949,38269,1009,1505,2159,19580,17093,15730,131,660,8848,542,855,1596,245,323,557,1245,8091,443,843,512,109,48,443
2012-2016,B25034_11_built_1939_or_earlier,109162,1192,1551,11074,18028,14733,10478,1282,1396,4132,2978,3791,1773,1009,838,675,1793,6394,164,395,1814,423,15,2596
2012-2016,B25127_1_total,276546,31479,54105,88995,367764,306711,100707,5591,16904,393358,23890,117073,138102,3247,43105,44311,14174,68063,8476,5301,10271,12430,4730,20634
