"statefips","countyfips","cv1","cv3","year","cv5","cv6","cv7","cv59","cv2","cv4","cv58","cv28","cv8","cv9","cv10","cv11","cv12","cv13","cv14","cv15","cv16","cv17","cv18","cv19","cv20","cv21","cv22","cv23","cv24","cv25","cv26","cv27","cv29","name","cv87","cv60"
"24","009",10484,4880,1940,6,52,44862,3567,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","017",17612,7228,1940,10,28,16817,6050,223,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","021",57312,4697,1940,68,2578,1968164,19237,290,8,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","031",83912,8889,1940,22,172,176903,33191,2275,37,,,,,,,,,,,,,,,,,,,,,,,,,,
"24","033",89490,16224,1940,31,280,315113,31031,2541,49,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","013",57040,5032,1940,28,673,655991,26680,1608,10,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","043",7159,1303,1940,6,61,38518,2521,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","047",13365,4214,1940,14,266,149500,4640,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","059",40929,6513,1940,5,449,,14239,681,4,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","061",21039,6132,1940,10,57,44946,7091,209,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","107",20291,4094,1940,12,72,49745,6748,121,5,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","153",17738,2556,1940,7,61,42278,8165,275,7,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","157",7208,1590,1940,5,42,14382,2105,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","177",9905,2787,1940,27,2666,2345833,3246,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","179",9548,1445,1940,1,,,3592,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","187",11352,1056,1940,14,420,302399,4041,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","510",33523,5281,1940,21,368,341764,13974,752,23,,,,,,,,,,,,,,,,,,,,,,,,,,
"51","630",10066,1854,1940,,,,4436,128,3,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","037",16762,2688,1940,20,473,403095,4948,86,7,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","001",802178,280803,1950,,,,373490,39497,3510,56687,229738,,,,,,,,,,,,,,,,,,,,,,,,
"24","009",12100,5124,1950,,,,4250,102,4,892,5072,,,,,,,,,,,,,,,,,,,,,,,,
"24","017",23415,8216,1950,,,,7303,404,9,1275,6355,,,,,,,,,,,,,,,,,,,,,,,,
"24","021",62287,4292,1950,,,,23408,458,16,5750,17220,,,,,,,,,,,,,,,,,,,,,,,,
"24","031",164401,10330,1950,,,,63364,6296,267,9202,47199,,,,,,,,,,,,,,,,,,,,,,,,
